international_plan,voice_mail_plan,number_vmail_messages,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,total_net_minutes,total_net_calls,total_net_charge
0,1,26.0,9.4,2.0,2.54,5,535.0999999999999,313.0,54.36
0,1,31.0,12.9,4.0,3.48,2,638.5999999999999,333.0,60.260000000000005
0,0,0.0,8.6,1.0,2.32,2,606.3,321.0,58.67999999999999
0,0,0.0,13.5,2.0,3.65,4,635.0,299.0,68.19
0,0,0.0,8.9,5.0,2.4,1,399.5,294.0,36.34
0,1,37.0,7.3,1.0,1.97,2,650.8000000000001,325.0,68.14
1,1,37.0,11.2,5.0,3.02,0,807.0,292.0,77.52
0,0,0.0,12.9,10.5,3.48,3,452.20000000000005,346.0,43.66
0,1,24.0,12.1,6.0,3.27,0,523.3,288.0,43.129999999999995
0,0,0.0,10.8,5.0,2.92,2,473.9,323.0,49.17
0,0,0.0,12.0,3.0,3.24,0,505.8,267.0,49.51
0,0,0.0,10.1,4.0,2.73,3,564.6,327.0,56.42
0,0,0.0,10.1,5.0,2.73,1,543.8,290.0,52.73
0,0,0.0,14.8,2.0,4.0,1,670.7,351.0,73.1
0,0,0.0,8.8,2.0,2.38,1,689.3,279.0,62.559999999999995
0,0,0.0,9.9,6.0,2.67,0,520.1,342.0,57.03
1,0,0.0,4.4,5.0,1.19,2,561.6,269.0,59.5
0,1,20.0,8.7,3.0,2.35,2,501.19999999999993,352.0,53.71
0,1,25.0,9.7,4.0,2.62,0,520.6,341.0,48.42000000000001
0,1,33.0,7.1,9.0,1.92,3,371.09999999999997,305.0,32.19
0,0,0.0,7.7,2.0,2.08,3,552.5,361.0,56.03
0,0,0.0,8.2,3.0,2.21,2,556.0,289.0,58.36
0,0,0.0,13.0,1.0,3.51,1,687.4,238.0,65.67999999999999
0,0,0.0,11.8,10.0,3.19,0,575.2,305.0,56.900000000000006
0,1,22.0,10.4,2.0,2.81,1,783.1,315.0,71.30000000000001
0,1,34.0,6.1,5.0,1.65,2,659.0,314.0,69.57000000000001
0,0,0.0,13.1,4.0,3.54,1,416.1,258.0,38.31
1,0,0.0,6.4,1.0,1.73,0,482.3,236.0,40.980000000000004
0,0,0.0,13.0,3.0,3.51,4,704.9,287.0,68.93
0,0,0.0,11.2,6.0,3.02,1,550.5999999999999,255.0,58.46
0,1,33.0,3.5,4.0,0.95,0,632.1,323.0,72.17999999999999
0,0,0.0,6.1,4.0,1.65,1,635.2,251.0,58.86
0,1,14.0,11.9,4.0,3.21,5,764.0,243.0,80.03
0,1,29.0,9.0,6.0,2.43,6,599.4,316.0,51.41
1,0,0.0,13.4,5.0,3.62,1,509.0,258.0,39.35
0,0,0.0,3.5,3.0,0.95,1,519.3,304.0,48.31
0,0,0.0,10.3,2.0,2.78,0,657.2,299.0,69.66
0,0,0.0,12.4,9.0,3.35,1,604.6,326.0,61.900000000000006
0,0,0.0,9.6,5.0,2.59,1,619.0,323.0,69.41
0,0,0.0,4.9,4.0,1.32,2,518.4000000000001,256.0,49.28
0,0,0.0,5.9,3.0,1.59,1,661.8,284.0,60.6
0,1,28.0,8.8,1.0,2.38,2,536.4,369.0,54.47
0,0,0.0,6.8,3.0,1.84,0,624.4000000000001,335.0,59.01
0,0,0.0,9.4,2.0,2.54,3,480.90000000000003,322.0,44.099999999999994
1,1,32.0,12.2,4.0,3.29,0,613.5,285.0,57.61
0,0,0.0,12.4,2.0,3.35,0,717.6999999999999,265.0,71.58
0,0,0.0,8.1,2.0,2.19,0,705.5999999999999,339.0,64.0
0,0,0.0,11.5,3.0,3.11,3,695.4,261.0,73.29
0,1,32.0,8.6,7.0,2.32,1,451.81250000000006,327.0,32.0775
1,0,0.0,5.0,2.0,1.35,1,543.9,304.0,52.32
0,1,29.0,11.5,2.0,3.11,1,614.0999999999999,277.0,63.07000000000001
0,0,0.0,10.6,8.0,2.86,3,573.9,274.0,64.12
0,1,33.0,10.2,7.0,2.75,0,570.9,288.0,64.17999999999999
0,0,0.0,7.6,10.5,2.05,5,568.5,271.0,53.949999999999996
0,1,37.0,7.9,3.0,2.13,2,849.4999999999999,305.0,79.84
0,1,40.0,9.9,5.0,2.67,2,756.2,369.0,72.42
0,0,0.0,12.7,6.0,3.43,1,586.3,259.0,56.81
0,0,0.0,6.2,5.0,1.67,3,584.6,246.0,54.22
0,1,40.0,10.6,3.0,2.86,2,608.7,267.0,64.73
0,1,28.0,11.5,2.0,3.11,1,702.6,312.0,67.95
0,0,0.0,7.9,4.0,2.13,0,569.7,314.0,59.36000000000001
0,0,0.0,6.6,3.0,1.78,1,593.8,242.0,65.32
0,1,38.0,8.2,3.0,2.21,0,567.2,271.0,55.720000000000006
0,0,0.0,13.3,10.0,3.59,1,705.2,270.0,67.19
0,0,0.0,8.8,7.0,2.38,2,564.2,317.0,49.93
0,0,0.0,5.6,5.0,1.51,1,438.6,323.0,39.949999999999996
0,1,19.0,7.5,3.0,2.03,0,545.0,316.0,52.14
1,0,0.0,11.9,10.5,3.21,0,645.4000000000001,297.0,64.39
0,1,17.0,12.3,3.0,3.32,1,532.0,312.0,47.56
0,0,0.0,10.4,7.0,2.81,1,679.5,268.0,75.08
0,0,0.0,13.4,4.0,3.62,0,648.8,320.0,65.50999999999999
0,0,0.0,10.0,5.0,2.7,1,547.6,257.0,58.71999999999999
0,0,0.0,12.6,8.0,3.4,1,603.4,334.0,58.56999999999999
0,0,0.0,11.8,4.0,3.19,0,521.0,378.0,50.040000000000006
0,1,33.0,12.2,5.0,3.29,1,545.9000000000001,308.0,49.69
0,1,31.0,12.0,5.0,3.24,1,596.7,334.0,58.580000000000005
0,0,0.0,12.0,7.0,3.24,1,597.1,297.0,55.37
0,1,25.0,5.6,5.0,1.51,4,664.3,292.0,66.94
0,1,33.0,10.9,3.0,2.94,3,673.0999999999999,271.0,72.16
0,0,0.0,11.3,5.0,3.05,5,600.1,298.0,53.58
0,0,0.0,7.1,7.0,1.92,1,457.29999999999995,319.0,48.34
0,0,0.0,13.6,4.0,3.67,0,520.8,305.0,46.93000000000001
0,0,0.0,12.4,1.0,3.35,1,650.4000000000001,273.0,73.65
0,0,0.0,10.2,3.0,2.75,0,589.8,266.0,53.099999999999994
0,0,0.0,11.2,3.0,3.02,3,497.4,325.0,43.01
0,1,25.0,12.2,3.0,3.29,3,678.0999999999999,309.0,62.089999999999996
0,0,0.0,9.6,9.0,2.59,3,676.0,316.0,58.04
0,0,0.0,14.0,2.0,3.78,0,678.4,318.0,67.62
0,0,0.0,9.6,4.0,2.59,3,553.4,364.0,51.63
0,0,0.0,9.3,3.0,2.51,0,529.4,338.0,58.6
0,0,0.0,9.7,3.0,2.62,4,647.3,309.0,63.09
0,0,0.0,8.0,5.0,2.16,1,532.7,331.0,51.44
0,0,0.0,13.8,4.0,3.73,0,547.2,340.0,54.28
0,1,28.0,8.3,6.0,2.24,1,514.3,312.0,50.260000000000005
0,1,38.0,4.3,6.0,1.16,0,548.4,345.0,50.53
0,0,0.0,10.2,4.0,2.75,2,781.7124999999999,261.0,79.11625000000001
0,0,0.0,14.1,2.0,3.81,1,478.1,330.0,43.28
0,0,0.0,8.6,9.0,2.32,1,665.0999999999999,291.0,66.9
0,1,29.0,9.5,5.0,2.57,2,630.5999999999999,340.0,64.44
0,0,0.0,12.9,5.0,3.48,0,503.8,293.0,53.73
0,0,0.0,12.6,7.0,3.4,5,523.6,304.0,52.010000000000005
0,0,0.0,12.0,2.0,3.24,1,457.4,343.0,40.11
0,0,0.0,12.7,6.0,3.43,4,674.1999999999999,234.0,69.44
0,0,0.0,10.6,4.0,2.86,0,407.70000000000005,351.0,30.9
0,1,29.0,10.0,1.0,2.7,0,384.1,266.0,29.880000000000003
0,1,40.0,11.5,1.0,3.11,1,611.1,291.0,59.28
0,0,0.0,10.0,5.0,2.7,1,437.9,320.0,38.3
0,1,40.0,9.0,9.0,2.43,2,556.3,329.0,55.11
1,1,24.0,9.9,3.0,2.67,0,517.5999999999999,373.0,42.32
0,0,0.0,11.9,3.0,3.21,0,634.7,349.0,65.10000000000001
0,1,24.0,9.7,1.0,2.62,2,580.5,355.0,59.42
0,1,27.0,7.3,7.0,1.97,0,479.3,252.0,42.24
0,1,32.0,6.8,3.0,1.84,2,544.3,278.0,48.45
0,0,0.0,8.4,10.5,2.27,0,699.1,263.0,64.65
0,0,0.0,10.6,4.0,2.86,0,446.1,305.0,36.72
0,1,37.0,10.9,4.0,2.94,3,522.6,298.0,47.010000000000005
0,0,0.0,11.8,1.0,3.19,3,603.0999999999999,265.0,62.74
0,0,0.0,13.1,5.0,3.54,1,543.7,297.0,48.68000000000001
0,0,0.0,10.6,7.0,2.86,3,418.1,320.0,39.74
0,1,27.0,5.5,2.0,1.49,0,561.8000000000001,323.0,55.46
0,0,0.0,10.7,6.0,2.89,2,683.5124999999999,282.0,78.4975
0,0,0.0,12.6,5.0,3.4,0,553.8000000000001,292.0,66.16000000000001
1,1,39.0,11.3,5.0,3.05,1,685.6,301.0,58.269999999999996
0,0,0.0,7.6,3.0,2.05,1,664.8,340.0,64.37
0,1,28.0,9.7,4.0,2.62,2,594.9,330.0,61.699999999999996
1,1,29.0,5.7,1.0,1.54,1,411.29999999999995,295.0,38.03
0,0,0.0,10.4,5.0,2.81,4,590.1,297.0,61.370000000000005
0,0,0.0,13.6,2.0,3.67,1,757.0000000000001,257.0,82.69999999999999
0,0,0.0,9.9,7.0,2.67,0,469.0,289.0,45.24
1,0,0.0,13.8,2.0,3.73,1,540.5,259.0,53.61
0,0,0.0,11.3,6.0,3.05,1,497.6,294.0,56.209999999999994
0,1,40.0,14.0,2.0,3.78,2,494.5,293.0,50.57
0,0,0.0,12.9,2.0,3.48,3,677.9,299.0,64.91
0,1,31.0,10.7,1.0,2.89,2,675.8,326.0,66.41
0,0,0.0,8.0,1.0,2.16,2,726.0,328.0,70.25999999999999
0,0,0.0,12.6,5.0,3.4,1,560.6,329.0,51.410000000000004
0,0,0.0,12.8,1.0,3.46,0,633.4000000000001,244.0,65.63000000000001
0,0,0.0,11.9,7.0,3.21,0,632.3,351.0,65.36
0,0,0.0,12.4,4.0,3.35,4,559.0,296.0,53.230000000000004
0,1,33.0,7.7,6.0,2.08,1,537.8,355.0,49.33
0,0,0.0,8.6,5.0,2.32,3,544.3,271.0,47.34
0,1,31.0,8.9,3.0,2.4,0,492.8,326.0,43.199999999999996
0,1,35.0,15.0,5.0,4.05,0,765.6,296.0,68.25
1,0,0.0,12.5,2.0,3.38,1,584.1,280.0,52.4
0,1,12.0,10.5,3.0,2.84,2,541.2,344.0,53.91
0,0,0.0,9.7,9.0,2.62,0,606.0999999999999,331.0,56.33
0,1,27.0,5.9,1.0,1.59,2,595.6,275.0,57.760000000000005
0,0,0.0,10.2,2.0,2.75,3,584.9,278.0,58.22
0,0,0.0,9.5,4.0,2.57,2,415.2,281.0,37.09
0,0,0.0,11.4,4.0,3.08,1,528.6,245.0,54.599999999999994
0,0,0.0,10.5,4.0,2.84,2,564.9,267.0,59.28
0,0,0.0,6.6,4.0,1.78,3,626.3,305.0,68.35
0,1,35.0,8.3,4.0,2.24,1,687.7,293.0,66.91000000000001
0,0,0.0,10.1,2.0,2.73,0,455.2,258.0,38.16
0,0,0.0,11.2,2.0,3.02,2,457.5,297.0,51.81999999999999
0,0,0.0,9.0,3.0,2.43,1,705.2,320.0,72.65
0,1,30.0,6.8,6.0,1.84,1,571.3,262.0,49.31
0,0,0.0,4.8,7.0,1.3,3,453.79999999999995,314.0,46.23
0,0,0.0,10.0,6.0,2.7,2,606.5,341.0,66.76
0,0,0.0,9.8,5.0,2.65,0,613.3,287.0,58.47
0,0,0.0,8.6,10.5,2.32,1,490.50000000000006,281.0,43.0
0,0,0.0,11.6,4.0,3.13,0,595.5,356.0,55.11
0,0,0.0,9.6,3.0,2.59,1,606.5999999999999,321.0,56.28
0,0,0.0,11.3,3.0,3.05,2,581.5,262.0,61.97
0,0,0.0,6.2,4.0,1.67,1,612.6,316.0,64.51
0,0,0.0,10.1,4.0,2.73,5,552.5,275.0,59.53
0,0,0.0,10.4,4.0,2.81,0,639.0,306.0,71.85000000000001
1,0,0.0,9.7,4.0,2.62,1,621.8,329.0,62.22
0,0,0.0,12.1,4.0,3.27,0,558.4,318.0,58.31
0,0,0.0,9.4,5.0,2.54,0,576.1999999999999,288.0,58.82
1,1,37.0,7.9,3.0,2.13,1,772.5999999999999,321.0,74.98
0,0,0.0,12.5,5.0,3.38,1,427.1,278.0,35.93000000000001
0,0,0.0,12.9,3.0,3.48,0,608.1999999999999,255.0,61.099999999999994
0,0,0.0,11.2,4.0,3.02,1,693.5,324.0,64.23
0,1,39.0,5.4,4.0,1.46,1,696.8,263.0,68.81
0,1,17.0,12.9,3.0,3.48,4,617.2,352.0,61.35999999999999
0,0,0.0,9.5,3.0,2.57,0,686.2,314.0,67.21
0,0,0.0,14.9,1.0,4.02,3,686.5999999999999,342.0,70.2
0,0,0.0,7.5,3.0,2.03,1,476.4,277.0,50.24
0,0,0.0,12.1,3.0,3.27,1,559.2,269.0,57.989999999999995
0,0,0.0,14.1,4.0,3.81,2,394.20000000000005,302.0,36.0
0,0,0.0,12.8,9.0,3.46,0,750.0,314.0,76.17
0,0,0.0,4.3,3.0,1.16,0,477.2,272.0,50.25
0,0,0.0,9.1,4.0,2.46,1,653.7,267.0,66.97
0,1,40.0,10.4,2.0,2.81,1,661.2,264.0,64.59
0,0,0.0,11.4,2.0,3.08,1,696.2,299.0,71.28
0,1,29.0,8.4,6.0,2.27,3,631.6,271.0,63.58
0,1,25.0,7.3,5.0,1.97,0,696.0,271.0,67.47999999999999
0,0,0.0,13.5,8.0,3.65,1,790.2,351.0,76.36
1,1,33.0,12.9,3.0,3.48,2,625.7,233.0,62.260000000000005
0,0,0.0,15.8,9.0,4.27,1,417.0,278.0,37.25
0,0,0.0,9.1,4.0,2.46,1,637.6,252.0,60.07
0,0,0.0,9.1,4.0,2.46,1,691.8125,285.0,58.76625
0,0,0.0,7.8,3.0,2.11,2,608.4,282.0,60.94
0,0,0.0,10.0,1.0,2.7,2,567.2,298.0,57.949999999999996
0,1,28.0,12.9,4.0,3.48,2,602.7,348.0,62.16
0,0,0.0,12.1,2.0,3.27,1,596.5999999999999,317.0,61.099999999999994
0,0,0.0,8.9,8.0,2.4,0,383.45000000000005,276.0,39.324999999999996
0,0,0.0,11.4,7.0,3.08,2,743.7,284.0,70.98
0,0,0.0,11.6,3.0,3.13,1,609.7,262.0,61.50999999999999
0,0,0.0,9.6,5.0,2.59,1,636.5,292.0,71.66000000000001
0,0,0.0,9.3,3.0,2.51,2,583.0999999999999,326.0,54.870000000000005
0,0,0.0,7.5,7.0,2.03,3,767.0,317.0,73.83999999999999
0,0,0.0,12.1,5.0,3.27,1,621.3,246.0,57.92
0,0,0.0,9.8,3.0,2.65,1,542.5,331.0,48.63
0,0,0.0,10.4,6.0,2.81,0,531.4,250.0,48.089999999999996
1,1,21.0,7.7,5.0,2.08,3,642.8,279.0,64.58
0,0,0.0,8.0,4.0,2.16,3,570.0,277.0,62.68
1,0,0.0,11.2,5.0,3.02,2,588.4,332.0,63.13
0,0,0.0,11.2,3.0,3.02,2,503.70000000000005,326.0,45.730000000000004
0,0,0.0,13.7,1.0,3.7,1,732.8999999999999,356.0,77.86999999999999
0,0,0.0,8.3,10.0,2.24,4,629.4,280.0,60.68
0,0,0.0,10.8,3.0,2.92,6,705.6,231.0,66.17
0,0,0.0,7.5,3.0,2.03,2,441.3,333.0,38.17
0,0,0.0,6.2,1.0,1.67,0,789.4000000000001,257.0,79.04
0,0,0.0,8.0,1.0,2.16,1,528.6,235.0,57.830000000000005
0,0,0.0,13.1,5.0,3.54,2,623.7,227.0,53.0
0,1,35.0,8.9,6.0,2.4,0,661.6,301.0,64.08
0,0,0.0,6.7,8.0,1.81,1,577.3,309.0,51.0
0,0,0.0,11.7,6.0,3.16,1,466.6,238.0,38.92
0,1,24.0,8.8,5.0,2.38,2,565.6,281.0,54.339999999999996
0,0,0.0,11.6,5.0,3.13,0,451.9,309.0,42.32
0,0,0.0,11.0,9.0,2.97,0,595.1,279.0,61.519999999999996
0,0,0.0,12.1,4.0,3.27,1,552.0,299.0,46.769999999999996
0,0,0.0,12.7,6.0,3.43,1,633.3,287.0,67.36
1,1,15.0,11.9,5.0,3.21,1,471.09999999999997,312.0,47.93
0,0,0.0,11.3,5.0,3.05,3,624.1,349.0,63.59
0,0,0.0,11.5,4.0,3.11,0,526.3,365.0,50.17
0,1,27.0,9.6,3.0,2.59,2,452.29999999999995,300.0,51.209999999999994
0,0,0.0,12.1,6.0,3.27,1,469.7,341.0,47.28
0,1,34.0,9.2,4.0,2.48,0,575.0,343.0,54.4
0,0,0.0,14.9,2.0,4.02,0,475.3,319.0,46.879999999999995
0,1,16.0,11.5,3.0,3.11,2,496.0,291.0,40.54
0,0,0.0,13.6,3.0,3.67,4,501.79999999999995,310.0,49.59
0,0,0.0,12.5,2.0,3.38,1,646.0,312.0,63.57
1,0,0.0,9.6,2.0,2.59,0,543.5,249.0,61.150000000000006
0,0,0.0,13.0,3.0,3.51,3,630.4000000000001,301.0,61.84
0,0,0.0,9.5,10.5,2.57,2,677.1,336.0,72.58000000000001
0,1,24.0,14.0,4.0,3.78,1,640.7,308.0,63.3
0,0,0.0,11.7,6.0,3.16,3,708.8,256.0,67.29
0,0,0.0,10.8,3.0,2.92,0,479.3,254.0,43.339999999999996
0,1,33.0,10.6,1.0,2.86,2,583.0999999999999,291.0,58.17
0,0,0.0,13.5,2.0,3.65,2,553.1,255.0,62.84
0,0,0.0,10.2,3.0,2.75,0,570.1999999999999,318.0,61.31
0,0,0.0,5.6,4.0,1.51,0,553.2,281.0,46.53
0,0,0.0,13.3,10.0,3.59,1,627.2,243.0,56.349999999999994
0,0,0.0,13.4,2.0,3.62,4,692.1,326.0,79.14
0,1,29.0,13.8,3.0,3.73,1,736.2,345.0,65.64
0,1,29.0,17.25,2.0,4.65,2,601.8000000000001,367.0,56.2
0,1,27.0,12.6,6.0,3.4,2,516.4,280.0,52.28
0,0,0.0,14.7,2.0,3.97,3,573.2,263.0,64.01
0,0,0.0,5.7,7.0,1.54,1,297.5,307.0,28.89
0,0,0.0,11.1,6.0,3.0,0,555.0,366.5,55.769999999999996
0,0,0.0,9.8,7.0,2.65,2,449.70000000000005,322.0,42.78
1,0,0.0,10.9,3.0,2.94,0,595.0,280.0,55.66
0,1,38.0,9.5,3.0,2.57,0,575.5999999999999,265.0,59.14000000000001
0,0,0.0,13.1,2.0,3.54,1,585.1,291.0,57.60999999999999
1,0,0.0,11.5,2.0,3.11,1,650.6,285.0,61.42
0,1,38.0,7.4,2.0,2.0,0,583.5,268.0,54.94
0,0,0.0,10.4,6.0,2.81,2,602.6,272.0,60.36
0,1,24.0,5.7,4.0,1.54,1,622.7,333.0,61.68
0,0,0.0,7.4,9.0,2.0,2,656.5999999999999,294.0,57.97
0,0,0.0,8.4,1.0,2.27,2,535.3,288.0,48.25
0,0,0.0,10.1,4.0,2.73,1,347.1,242.0,29.1
0,0,0.0,11.4,7.0,3.08,1,684.5,256.0,61.72
0,0,0.0,7.1,1.0,1.92,4,607.6,258.0,60.42
0,0,0.0,10.0,3.0,2.7,2,485.9,287.0,49.82
0,1,30.0,14.5,5.0,3.92,1,659.6,304.0,55.21
0,0,0.0,14.2,4.0,3.83,1,412.20000000000005,311.0,33.55
0,1,25.0,10.9,6.0,2.94,2,672.8,249.0,63.39999999999999
0,0,0.0,10.9,3.0,2.94,5,499.8,353.0,50.82000000000001
0,0,0.0,9.9,7.0,2.67,1,572.1,286.0,61.89
0,0,0.0,4.5,3.0,1.22,0,696.6,283.0,69.04
1,0,0.0,10.8,3.0,2.92,1,476.0,282.0,40.21
0,1,18.0,13.4,9.0,3.62,2,588.7,239.0,57.81
0,0,0.0,8.2,5.0,2.21,0,511.20000000000005,313.0,51.66
0,0,0.0,12.0,5.0,3.24,2,581.1,332.0,52.11
0,1,37.0,5.9,4.0,1.59,1,441.09999999999997,320.0,44.92
0,0,0.0,8.1,7.0,2.19,3,511.70000000000005,314.0,47.64
0,0,0.0,8.9,2.0,2.4,1,530.8,294.0,45.7
0,1,33.0,11.1,10.5,3.0,2,651.2,274.0,62.75000000000001
0,0,0.0,10.9,9.0,2.94,0,436.3,265.0,37.75
0,0,0.0,5.6,8.0,1.51,1,538.7,339.0,57.910000000000004
0,1,31.0,8.6,3.0,2.32,0,695.7,252.0,75.54
0,1,31.0,7.5,3.0,2.03,1,617.9000000000001,385.0,58.07000000000001
0,0,0.0,14.7,1.0,3.97,1,599.4,288.0,56.58
0,1,33.0,10.2,7.0,2.75,2,575.6,275.0,50.94
0,0,0.0,10.3,6.0,2.78,1,715.7,277.0,68.26
0,0,0.0,12.7,4.0,3.43,1,797.2,300.0,76.78999999999999
1,1,27.0,6.9,5.0,1.86,1,680.9000000000001,318.0,61.00999999999999
0,0,0.0,16.7,2.0,4.51,2,617.8,342.0,55.84
0,0,0.0,8.8,3.0,2.38,2,582.0,295.0,62.23
0,1,32.0,8.0,5.0,2.16,1,422.1,285.0,38.309999999999995
0,0,0.0,14.7,4.0,3.97,3,391.9,241.0,40.64
0,1,31.0,5.1,4.0,1.38,2,603.5,364.0,67.3
1,0,0.0,14.4,10.0,3.89,0,535.0,316.0,50.64
0,0,0.0,13.4,3.0,3.62,4,591.2,351.0,57.37
0,0,0.0,11.8,2.0,3.19,2,658.4,278.0,63.56999999999999
0,1,29.0,11.5,5.0,3.11,1,726.9,305.0,67.11
0,1,24.0,11.6,5.0,3.13,1,643.5,323.0,61.160000000000004
0,0,0.0,8.6,3.0,2.32,2,518.6,223.0,47.21
0,0,0.0,8.3,5.0,2.24,2,682.8,313.0,62.53
0,0,0.0,5.4,7.0,1.46,1,649.6,290.0,60.21
0,0,0.0,11.3,2.0,3.05,1,592.8,278.0,54.94
0,0,0.0,12.4,5.0,3.35,0,514.4000000000001,278.0,41.519999999999996
0,0,0.0,14.4,1.0,3.89,0,560.0,266.0,43.25
0,0,0.0,14.6,2.0,3.94,0,599.8,296.0,63.1
0,0,0.0,8.5,3.0,2.3,1,595.0999999999999,233.0,65.88
0,0,0.0,6.5,9.0,1.76,1,712.0999999999999,337.0,66.46000000000001
1,1,30.0,10.0,10.0,2.7,0,564.5,355.0,55.129999999999995
0,0,0.0,11.5,4.0,3.11,2,595.8,322.0,66.53999999999999
0,0,0.0,5.5,3.0,1.49,1,579.4,271.0,53.120000000000005
0,0,0.0,10.9,2.0,2.94,3,785.7,281.0,77.45
1,0,0.0,11.2,3.0,3.02,1,610.1,286.0,54.59
0,0,0.0,11.0,10.5,2.97,0,586.1,267.0,59.17
0,0,0.0,11.3,5.0,3.05,1,539.2,367.0,54.35
0,0,0.0,16.8,7.0,4.54,2,542.0,327.0,46.49
0,0,0.0,10.2,1.0,2.75,3,588.4,297.0,59.06
0,0,0.0,9.2,3.0,2.48,2,580.2,256.0,51.830000000000005
0,0,0.0,10.7,2.0,2.89,1,499.0,341.0,49.919999999999995
0,0,0.0,14.2,5.0,3.83,3,669.8,343.0,67.37
0,0,0.0,12.6,8.0,3.4,0,612.5,251.0,60.260000000000005
0,1,34.0,12.2,3.0,3.29,1,563.5,306.0,59.879999999999995
1,1,31.0,9.7,4.0,2.62,2,643.9000000000001,281.5,57.13
1,0,0.0,9.9,1.0,2.67,3,622.1,277.0,69.5
0,0,0.0,9.0,6.0,2.43,2,552.1,309.0,45.1
0,0,0.0,13.9,2.0,3.75,0,707.0999999999999,264.0,68.71
1,0,0.0,8.2,6.0,2.21,1,660.3,310.0,70.28
0,0,0.0,6.3,3.0,1.7,3,686.8,264.0,69.76
0,0,0.0,10.8,5.0,2.92,3,479.4,257.0,45.19
0,0,0.0,7.8,10.5,2.11,1,733.4,289.0,73.53999999999999
0,1,21.0,5.3,3.0,1.43,2,459.29999999999995,308.0,49.38
0,0,0.0,11.7,4.0,3.16,5,562.6,354.0,51.36
0,0,0.0,9.8,5.0,2.65,0,395.3,264.0,39.339999999999996
1,0,0.0,14.1,4.0,3.81,1,540.9,342.0,48.37
0,0,0.0,13.2,10.0,3.56,2,592.0,254.0,52.64
0,0,0.0,11.7,4.0,3.16,0,675.6,321.0,66.56
0,1,40.0,13.4,4.0,3.62,0,441.3,362.0,41.68
0,1,26.0,7.6,10.5,2.05,1,648.2,314.0,65.09
0,0,0.0,8.5,5.0,2.3,1,561.5,322.0,56.69
0,1,38.0,13.3,4.0,3.59,1,395.09999999999997,374.0,38.51
0,0,0.0,4.2,2.0,1.13,1,575.0999999999999,273.0,57.25
0,0,0.0,15.1,3.0,4.08,1,599.4,324.0,58.45
0,1,30.0,12.6,4.0,3.4,3,565.7,253.0,58.6
0,0,0.0,10.3,2.0,2.78,3,650.8,261.0,60.36
0,0,0.0,9.2,2.0,2.48,2,424.40000000000003,298.0,42.800000000000004
0,1,23.0,12.6,7.0,3.4,3,545.0,316.0,46.43
0,1,28.0,9.2,6.0,2.48,4,551.6,355.0,53.44
0,0,0.0,11.5,3.0,3.11,0,311.4,377.0,23.97
0,1,28.0,12.1,4.0,3.27,1,624.8,243.0,66.86
0,1,33.0,11.5,3.0,3.11,3,537.2,280.0,50.459999999999994
0,1,32.0,12.1,2.0,3.27,1,543.9,247.0,56.06
0,1,21.0,10.6,2.0,2.86,1,528.4,315.0,47.95
0,0,0.0,6.3,7.0,1.7,1,718.4000000000001,313.0,73.28999999999999
1,0,0.0,11.0,2.0,2.97,0,640.0,251.0,68.09
0,1,33.0,9.5,4.0,2.57,1,631.0,316.0,67.71
0,1,37.0,9.2,4.0,2.48,0,673.6,316.0,59.95
0,0,0.0,13.9,4.0,3.75,0,590.8000000000001,299.0,57.78
0,0,0.0,9.5,2.0,2.57,0,524.4,276.0,45.4
0,0,0.0,11.0,5.0,2.97,0,625.9,283.0,60.61
0,0,0.0,9.8,3.0,2.65,4,500.0,241.0,50.910000000000004
0,0,0.0,14.7,8.0,3.97,3,730.5,308.0,69.68
0,0,0.0,9.5,8.0,2.57,0,607.0,332.0,58.72
0,1,40.0,10.3,2.0,2.78,3,652.7,303.0,66.09
0,0,0.0,10.2,4.0,2.75,3,515.9,333.0,41.6
0,0,0.0,9.1,7.0,2.46,0,570.3,330.0,58.13
0,0,0.0,9.6,8.0,2.59,1,490.6,304.0,47.71
1,1,18.0,11.2,5.0,3.02,2,487.59999999999997,318.0,43.07000000000001
0,0,0.0,11.5,5.0,3.11,1,713.5,288.0,76.86
1,0,0.0,10.1,4.0,2.73,2,630.9,291.0,65.5
1,1,18.0,13.6,2.0,3.67,0,601.5,300.0,61.26
0,0,0.0,13.1,7.0,3.54,1,648.3,337.5,63.709999999999994
0,0,0.0,12.2,2.0,3.29,2,432.41249999999997,321.0,47.806250000000006
0,0,0.0,12.6,2.0,3.4,3,414.1,280.0,37.42
0,1,28.0,6.8,5.0,1.84,3,497.8,320.0,54.3
0,1,20.0,9.4,2.0,2.54,0,665.5,337.0,65.03
0,0,0.0,7.6,2.0,2.05,3,635.9000000000001,293.0,53.559999999999995
0,0,0.0,6.8,3.0,1.84,2,536.2,243.0,48.839999999999996
0,1,39.0,10.9,4.0,2.94,1,379.4,313.0,40.910000000000004
0,0,0.0,11.6,5.0,3.13,0,499.79999999999995,303.0,45.08
0,0,0.0,10.2,1.0,2.75,0,494.79999999999995,309.0,53.29
0,0,0.0,3.7,2.0,1.0,0,433.2,271.0,44.419999999999995
0,1,32.0,10.6,5.0,2.86,0,621.7,262.0,67.35
0,0,0.0,9.9,5.0,2.67,1,638.8,315.0,59.27
0,0,0.0,10.7,1.0,2.89,1,642.7,300.0,58.480000000000004
0,1,25.0,12.5,3.0,3.38,2,475.2,304.0,52.39
